Какой тег используется для создания абзаца?;<p>;<div>;<span>;<h1>;1
Что означает HTML?;HyperText Markup Language;Home Tool Markup Language;Hyperlinks and Text Markup Language;Высокий язык разметки;1
Какой тег используется для создания заголовка первого уровня?;<h1>;<header>;<head>;<title>;1
Какой атрибут используется для указания уникального идентификатора элемента?;id;class;name;value;1
Какой тег создает гиперссылку?;<a>;<link>;<href>;<url>;1
Какой тег используется для вставки изображения?;<img>;<image>;<picture>;<src>;1
Какой атрибут тега <img> указывает путь к изображению?;src;href;link;path;1
Какой тег создает список с маркерами?;<ul>;<ol>;<li>;<list>;1
Какой тег создает элемент списка?;<li>;<ul>;<ol>;<item>;1
Какой тег используется для жирного текста?;<b>;<i>;<u>;<strong>;1
